专业类型,权重方案,项目名称,投入比例,百分比,状态
STEM数据科学,综合发展,x1: AI基础课,0.0000,0.0%,不开课
STEM数据科学,综合发展,x2: AI伦理专题,1.0000,100.0%,开课
STEM数据科学,综合发展,x3: 项目实践,0.0000,0.0%,不开课
STEM数据科学,综合发展,x4: 业界专家,0.0000,0.0%,不开课
STEM数据科学,综合发展,x5: 实验设备,0.0000,0.0%,不开课
STEM数据科学,社会贡献,x1: AI基础课,0.0000,0.0%,不开课
STEM数据科学,社会贡献,x2: AI伦理专题,1.0000,100.0%,开课
STEM数据科学,社会贡献,x3: 项目实践,0.0000,0.0%,不开课
STEM数据科学,社会贡献,x4: 业界专家,0.0000,0.0%,不开课
STEM数据科学,社会贡献,x5: 实验设备,0.0000,0.0%,不开课
STEM数据科学,技术优先,x1: AI基础课,0.0000,0.0%,不开课
STEM数据科学,技术优先,x2: AI伦理专题,0.9221,92.2%,开课
STEM数据科学,技术优先,x3: 项目实践,0.0779,7.8%,开课
STEM数据科学,技术优先,x4: 业界专家,0.0000,0.0%,不开课
STEM数据科学,技术优先,x5: 实验设备,0.0000,0.0%,不开课

职业烹饪,综合发展,x1: 厨房设备,0.0000,0.0%,不开课
职业烹饪,综合发展,x2: AI设计软件,0.0000,0.0%,不开课
职业烹饪,综合发展,x3: 营养课程,0.6780,67.8%,开课
职业烹饪,综合发展,x4: 感官工作坊,0.3220,32.2%,开课
职业烹饪,综合发展,x5: 大师班,0.0000,0.0%,不开课
职业烹饪,社会贡献,x1: 厨房设备,0.0000,0.0%,不开课
职业烹饪,社会贡献,x2: AI设计软件,0.0000,0.0%,不开课
职业烹饪,社会贡献,x3: 营养课程,1.0000,100.0%,开课
职业烹饪,社会贡献,x4: 感官工作坊,0.0000,0.0%,不开课
职业烹饪,社会贡献,x5: 大师班,0.0000,0.0%,不开课
职业烹饪,技术优先,x1: 厨房设备,0.0000,0.0%,不开课
职业烹饪,技术优先,x2: AI设计软件,0.0116,1.2%,开课
职业烹饪,技术优先,x3: 营养课程,0.5133,51.3%,开课
职业烹饪,技术优先,x4: 感官工作坊,0.4751,47.5%,开课
职业烹饪,技术优先,x5: 大师班,0.0000,0.0%,不开课

艺术戏剧,综合发展,x1: AI协作工坊,0.4348,43.5%,开课
艺术戏剧,综合发展,x2: 跨学科项目,0.0000,0.0%,不开课
艺术戏剧,综合发展,x3: 行业实习,0.3161,31.6%,开课
艺术戏剧,综合发展,x4: 传统表演,0.0000,0.0%,不开课
艺术戏剧,综合发展,x5: 批判理论,0.2491,24.9%,开课
艺术戏剧,社会贡献,x1: AI协作工坊,0.4358,43.6%,开课
艺术戏剧,社会贡献,x2: 跨学科项目,0.0000,0.0%,不开课
艺术戏剧,社会贡献,x3: 行业实习,0.2053,20.5%,开课
艺术戏剧,社会贡献,x4: 传统表演,0.0000,0.0%,不开课
艺术戏剧,社会贡献,x5: 批判理论,0.3589,35.9%,开课
艺术戏剧,技术优先,x1: AI协作工坊,0.4816,48.2%,开课
艺术戏剧,技术优先,x2: 跨学科项目,0.0000,0.0%,不开课
艺术戏剧,技术优先,x3: 行业实习,0.2727,27.3%,开课
艺术戏剧,技术优先,x4: 传统表演,0.0000,0.0%,不开课
艺术戏剧,技术优先,x5: 批判理论,0.2331,23.3%,开课

