category,project_index,project_name,allocation,percentage
STEM,1,增加AI基础课,0.0979,9.8%
STEM,2,开设AI伦理专题,0.05,5.0%
STEM,3,增加项目实践,0.05,5.0%
STEM,4,邀请业界专家,0.05,5.0%
STEM,5,更新实验设备,0.05,5.0%
STEM,6,增加创业项目,0.6521,65.2%
STEM,7,开展校园碳足迹数据分析竞赛,0.05,5.0%
Trade,1,更新厨房设备,0.1712,17.1%
Trade,2,引入AI设计软件,0.05,5.0%
Trade,3,增加营养学课程,0.2146,21.5%
Trade,4,建立多感官工作坊,0.3402,34.0%
Trade,5,开设行业大师班,0.124,12.4%
Trade,6,参加实习项目,0.05,5.0%
Trade,7,开设厨余垃圾再利用课程,0.05,5.0%
Arts,1,AI技术工作坊,0.0694,6.9%
Arts,2,跨学科合作项目,0.05,5.0%
Arts,3,行业实习实践,0.4917,49.2%
Arts,4,传统表演深化,0.2389,23.9%
Arts,5,批判理论课程,0.05,5.0%
Arts,6,开设舞台沟通课程,0.05,5.0%
Arts,7,开设全球文化课程,0.05,5.0%
